Participant ID,Scene,Absolute time,Relative time in session,Happy,Enjoyment,Hope,Pride,Anger,Frustration,Anxiety,Fear,Shame,Hopelessness,Boredom,Surprise,Contempt,Disgust,Confusion,Curiosity,Sadness,Eureka,Neutral,Task Value,Boredom Average,Curiosity Average
MT208PN42148,scene2,15:03:43,0:52:56.074,3,4,4,3,1,1,1,1,1,1,2,3,1,1,1,1,1,3,1,4,,
MT208PN42148,scene3,15:20:05,1:09:06.347,4,4,5,4,1,1,2,1,1,1,1,4,1,1,1,4,1,4,1,4,,
MT208PN42148,scene4,15:36:37,1:25:28.834,4,5,4,4,1,1,2,1,1,1,1,4,1,1,1,4,1,4,1,5,1.2,3.6
MT208PN42149,scene0,10:23:05,0:21:48.691,4,4,4,4,1,1,1,1,2,1,1,1,1,1,3,3,1,1,5,3,,
MT208PN42149,scene1,10:48:24,0:47:07.216,3,2,3,3,1,3,1,1,1,1,2,1,2,1,3,2,1,1,2,3,,
MT208PN42149,scene2,11:08:20,1:07:03.243,3,2,3,3,1,3,1,1,1,1,2,1,2,1,1,3,1,1,3,3,,
MT208PN42149,scene3,11:24:14,1:22:57.256,4,3,5,3,1,1,1,1,1,1,1,1,1,1,1,3,1,1,5,3,,
MT208PN42149,scene4,11:41:01,1:39:44.090,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,3,1,1,3,3,1.4,2.8
MT208PN42164,scene0,13:23:30,0:14:56.500,3,4,4,3,1,2,2,1,1,1,3,3,3,1,2,4,1,3,5,4,,
MT208PN42164,scene1,13:46:55,0:38:21.483,3,4,4,3,2,2,1,1,3,2,3,4,4,1,3,4,1,3,4,4,,
MT208PN42164,scene2,14:10:11,1:01:37.943,2,2,4,3,1,3,2,1,1,2,3,4,4,1,3,4,1,3,4,4,,
MT208PN42164,scene3,14:24:30,1:15:57.140,3,4,4,3,1,1,1,1,1,1,3,3,4,1,2,4,1,4,4,4,,
MT208PN42164,scene4,14:41:56,1:33:23.279,3,3,3,4,2,2,1,1,1,1,2,3,4,1,3,3,1,3,4,4,2.8,3.8
MT208PN42165,scene0,13:24:42,0:15:47.576,4,4,4,4,1,1,2,1,1,1,2,1,1,1,1,4,1,3,5,4,,
MT208PN42165,scene1,13:48:12,0:39:17.833,4,4,4,4,2,1,2,1,1,1,2,1,1,1,1,4,1,3,1,4,,
MT208PN42165,scene2,14:04:48,0:55:53.328,3,3,4,4,2,1,1,1,1,1,2,1,2,1,1,4,1,3,5,4,,
MT208PN42165,scene3,14:21:45,1:12:50.870,4,3,5,4,1,1,1,1,1,1,2,1,1,1,1,3,1,3,5,3,,
MT208PN42165,scene4,14:38:19,1:29:25.287,3,3,4,4,1,1,1,1,1,1,2,1,1,1,1,3,1,3,5,4,2,3.6
MT208PN42171,scene0,12:23:21,0:18:50.044,3,3,3,3,3,3,1,1,1,1,1,3,3,1,1,5,1,3,3,4,,
MT208PN42171,scene1,12:44:23,0:39:52.540,3,3,3,3,1,1,1,1,1,1,1,3,3,1,1,5,1,3,3,4,,
MT208PN42171,scene2,13:04:00,0:59:29.051,3,3,3,1,1,1,1,1,1,1,3,1,3,1,1,4,1,3,3,3,,
MT208PN42171,scene3,13:19:49,1:15:13.771,3,2,3,3,1,1,1,1,1,1,2,1,3,1,3,4,1,3,3,4,,
MT208PN42171,scene4,13:36:42,1:32:06.236,2,3,3,1,1,1,1,1,1,1,3,1,3,1,1,3,1,1,3,3,2,4.2
MT208PN42172,scene0,10:06:58,0:16:27.587,3,3,4,3,2,1,2,2,1,2,3,1,2,2,2,3,1,3,5,3,,
MT208PN42172,scene1,10:28:27,0:37:50.873,3,3,3,3,2,3,3,2,2,2,4,3,3,1,2,3,2,3,5,3,,
MT208PN42172,scene2,10:49:30,0:58:54.072,3,3,3,3,2,3,3,2,1,1,4,2,2,1,2,3,2,2,5,3,,
MT208PN42172,scene3,11:05:10,1:14:19.764,3,2,3,3,2,3,3,2,1,1,4,2,1,1,3,3,1,3,4,3,,
MT208PN42172,scene4,11:24:01,1:33:11.340,3,3,3,3,1,2,2,1,1,1,3,2,1,1,2,3,1,3,3,3,3.6,3
MT208PN44077,scene0,11:02:10,0:17:05.541,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,
MT208PN44077,scene1,11:23:18,0:38:13.112,2,2,1,1,1,4,1,1,1,1,4,1,1,1,1,1,1,1,3,2,,
MT208PN44077,scene2,11:47:49,1:02:44.301,1,1,1,1,2,1,1,1,1,1,4,1,4,1,1,1,1,1,2,1,,
MT208PN44077,scene3,12:00:34,1:15:28.666,1,1,1,1,3,3,1,1,1,1,2,3,4,1,1,1,1,1,2,1,,
MT208PN44077,scene4,12:16:18,1:31:12.695,1,1,1,1,1,1,1,1,5,1,5,1,1,1,1,1,1,1,4,1,3.4,1.2
