,key,Session duration,Reading duration,#Subgoals validated,#Subgoals attempted,Worked without subgoal,#Subgoals changes,#Note Taking,#Summaries added to notes,Note Taking Duration,Note Checking Duration,#SUMM,#TN,#MPTG,#PKA,#JOL,#FOK,Mean # of SRL processes per relevant page to SG0 at anytime in the session (NB: some processes can end up being counted multiple times),Mean # of SRL processes per relevant page to SG1 at anytime in the session (NB: some processes can end up being counted multiple times),TimeSpentWithContentOverall,TimePageRelSG,TimePageIrrelSG,TotalTimeWithRelFullContent,TotalTimeWithIrrelFullContent,NumberSG,TimeINF,RatioPagesRelevantToInitialSubgoal1ReadWhenSubgoal1Active,RatioPagesRelevantToInitialSubgoal2ReadWhenSubgoal2Active,RatioPagesRelevantToInitialSubgoal1ReadAtAnytime,RatioPagesRelevantToInitialSubgoal2ReadAtAnytime,ImagesOpened_num,TimePageRelSG_mod,TimePageIrrelSG_mod,TotalTimeWithRelTextContent_mod,TotalTimeWithRelFullContent_mod,TotalTimeWithIrrelFullContent_mod,TotalTimeSettingSG_mod,TimeFullView_total_mod,Enjoyment,Contempt,Confusion,Curiosity,Sadness,Eureka,Neutral,Task Value,Hope,Pride,Frustration,Anxiety,Shame,Hopelessness,Boredom,Surprise
229,"('MT208PN41058', 2)",4992.0,2146.0,0.0,1.0,False,1.0,1.0,1.0,105.0,374.0,1.0,2.0,1.0,3.0,1.0,0.0,1.0,0.0,0.8107949495315552,0.37384891510009766,0.14370113611221313,0.04059349000453949,0.0,2.0,0.0,0.30000001192092896,0.0,0.30000001192092896,0.1111111119389534,1.0,0.4610893428325653,0.17723487317562103,0.4110230505466461,0.05006628483533859,0.0,0.0002472252235747874,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
230,"('MT208PN41076', 4)",4469.0,3507.0,0.0,1.0,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.13333334028720856,0.1111111119389534,0.9059039950370789,0.30118125677108765,0.496945321559906,0.03606973588466644,0.0758671909570694,2.0,0.0,0.9333333373069763,0.0,1.0,1.0,14.0,0.33246487379074097,0.5485628843307495,0.2926485538482666,0.03981629014015198,0.083747498691082,0.0001503676758147776,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
231,"('MT208PN41076', 2)",4469.0,3507.0,0.0,1.0,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.13333334028720856,0.1111111119389534,0.9059039950370789,0.30118125677108765,0.496945321559906,0.03606973588466644,0.0758671909570694,2.0,0.0,0.9333333373069763,0.0,1.0,1.0,14.0,0.33246487379074097,0.5485628843307495,0.2926485538482666,0.03981629014015198,0.083747498691082,0.0001503676758147776,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
232,"('MT208PN41076', 3)",4469.0,3507.0,0.0,1.0,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.13333334028720856,0.1111111119389534,0.9059039950370789,0.30118125677108765,0.496945321559906,0.03606973588466644,0.0758671909570694,2.0,0.0,0.9333333373069763,0.0,1.0,1.0,14.0,0.33246487379074097,0.5485628843307495,0.2926485538482666,0.03981629014015198,0.083747498691082,0.0001503676758147776,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
233,"('MT208PN41076', 5)",4469.0,3507.0,0.0,1.0,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.13333334028720856,0.1111111119389534,0.9059039950370789,0.30118125677108765,0.496945321559906,0.03606973588466644,0.0758671909570694,2.0,0.0,0.9333333373069763,0.0,1.0,1.0,14.0,0.33246487379074097,0.5485628843307495,0.2926485538482666,0.03981629014015198,0.083747498691082,0.0001503676758147776,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
234,"('MT208PN41076', 1)",4469.0,3507.0,0.0,1.0,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.13333334028720856,0.1111111119389534,0.9059039950370789,0.30118125677108765,0.496945321559906,0.03606973588466644,0.0758671909570694,2.0,0.0,0.9333333373069763,0.0,1.0,1.0,14.0,0.33246487379074097,0.5485628843307495,0.2926485538482666,0.03981629014015198,0.083747498691082,0.0001503676758147776,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
235,"('MT208PN41051', 5)",4358.0,3123.0,0.6666666865348816,3.0,True,1.3333333730697632,8.0,0.0,1022.0,0.0,0.0,8.0,3.0,0.0,9.0,0.0,1.5,1.6666666269302368,0.8690685033798218,0.6500965356826782,0.1318942755460739,0.17544692754745483,0.021296121180057526,3.0,0.0,0.06666667014360428,0.12121212482452393,0.20000000298023224,0.1515151560306549,11.0,0.7480382919311523,0.1517651081085205,0.5105383396148682,0.20187927782535553,0.024504536762833595,0.00020142210996709764,0.00665664579719305,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
236,"('MT208PN41051', 3)",4358.0,3123.0,0.6666666865348816,3.0,True,1.3333333730697632,8.0,0.0,1022.0,0.0,0.0,8.0,3.0,0.0,9.0,0.0,1.5,1.6666666269302368,0.8690685033798218,0.6500965356826782,0.1318942755460739,0.17544692754745483,0.021296121180057526,3.0,0.0,0.06666667014360428,0.12121212482452393,0.20000000298023224,0.1515151560306549,11.0,0.7480382919311523,0.1517651081085205,0.5105383396148682,0.20187927782535553,0.024504536762833595,0.00020142210996709764,0.00665664579719305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
237,"('MT208PN41051', 1)",4358.0,3123.0,0.6666666865348816,3.0,True,1.3333333730697632,8.0,0.0,1022.0,0.0,0.0,8.0,3.0,0.0,9.0,0.0,1.5,1.6666666269302368,0.8690685033798218,0.6500965356826782,0.1318942755460739,0.17544692754745483,0.021296121180057526,3.0,0.0,0.06666667014360428,0.12121212482452393,0.20000000298023224,0.1515151560306549,11.0,0.7480382919311523,0.1517651081085205,0.5105383396148682,0.20187927782535553,0.024504536762833595,0.00020142210996709764,0.00665664579719305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
238,"('MT208PN41051', 2)",4358.0,3123.0,0.6666666865348816,3.0,True,1.3333333730697632,8.0,0.0,1022.0,0.0,0.0,8.0,3.0,0.0,9.0,0.0,1.5,1.6666666269302368,0.8690685033798218,0.6500965356826782,0.1318942755460739,0.17544692754745483,0.021296121180057526,3.0,0.0,0.06666667014360428,0.12121212482452393,0.20000000298023224,0.1515151560306549,11.0,0.7480382919311523,0.1517651081085205,0.5105383396148682,0.20187927782535553,0.024504536762833595,0.00020142210996709764,0.00665664579719305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
