
[1] "frustration_boredom,full_prev_3,3,8,RF,0.414634146341463,2.23611111111111,2.48968253968254,0,13.4117718598537"
[1] "frustration_boredom,full_prev_3,3,8,NN,0.414634146341463,0,0,0,16.3015151515152"
[1] "frustration_boredom,full_prev_3,3,8,SVM,0.414634146341463,0,0,0,17"
[1] "frustration_boredom,full_prev_3,3,8,OverallBase,0.390334572490706"
[1] "frustration_boredom,full_prev_3,3,8,WithinBase,0.414634146341463"
[1] "frustration_boredom,full_prev_3,3,8,Logit,0.428571428571429,5.42751137751138,5.15068542568543,2.24166666666667,9.08289809605599"
[1] "frustration_boredom,full_prev_3,3,8,RF,0.258064516129032,2.23611111111111,2.48968253968254,0,14.0784385265204"
[1] "frustration_boredom,full_prev_3,3,8,NN,0.387096774193548,0,0,0,17.3015151515152"
[1] "frustration_boredom,full_prev_3,3,8,SVM,0.387096774193548,0,0,0,18"
[1] "frustration_boredom,full_prev_3,3,8,OverallBase,0.390334572490706"
[1] "frustration_boredom,full_prev_3,3,8,WithinBase,0.516129032258065"
