
[1] "frustration_boredom,full_prev_3,3,5,WithinBase,0.653846153846154"
[1] "frustration_boredom,full_prev_3,4,5,Logit,0.711111111111111,6.3455266955267"
[1] "frustration_boredom,full_prev_3,4,5,RF,0.7,2.72139804639805"
[1] "frustration_boredom,full_prev_3,4,5,NN,0.48,8.08266178266178"
[1] "frustration_boredom,full_prev_3,4,5,SVM,0.26,16"
[1] "frustration_boredom,full_prev_3,4,5,OverallBase,0.773234200743494"
[1] "frustration_boredom,full_prev_3,4,5,WithinBase,0.74"
[1] "frustration_boredom,full_prev_3,4,5,Logit,0.645833333333333,6.90108225108225"
[1] "frustration_boredom,full_prev_3,4,5,RF,0.814814814814815,3.08503441003441"
[1] "frustration_boredom,full_prev_3,4,5,NN,0.425925925925926,8.62811632811633"
[1] "frustration_boredom,full_prev_3,4,5,SVM,0.203703703703704,17"
[1] "frustration_boredom,full_prev_3,4,5,OverallBase,0.773234200743494"
[1] "frustration_boredom,full_prev_3,4,5,WithinBase,0.796296296296296"
[1] "frustration_boredom,full_prev_3,4,5,Logit,0.652173913043478,7.00108225108225"
[1] "frustration_boredom,full_prev_3,4,5,RF,0.745098039215686,3.08503441003441"
[1] "frustration_boredom,full_prev_3,4,5,NN,0.549019607843137,9.17357087357087"
[1] "frustration_boredom,full_prev_3,4,5,SVM,0.215686274509804,18"
[1] "frustration_boredom,full_prev_3,4,5,OverallBase,0.773234200743494"
[1] "frustration_boredom,full_prev_3,4,5,WithinBase,0.784313725490196"
[1] "frustration_boredom,full_prev_3,4,5,Logit,0.745454545454545,7.50108225108225"
[1] "frustration_boredom,full_prev_3,4,5,RF,0.689655172413793,3.44217726717727"
[1] "frustration_boredom,full_prev_3,4,5,NN,0.5,9.53071373071373"
[1] "frustration_boredom,full_prev_3,4,5,SVM,0.241379310344828,19"
[1] "frustration_boredom,full_prev_3,4,5,OverallBase,0.773234200743494"
[1] "frustration_boredom,full_prev_3,4,5,WithinBase,0.758620689655172"
[1] "frustration_boredom,full_prev_3,4,5,Logit,0.851851851851852,8.00108225108225"
[1] "frustration_boredom,full_prev_3,4,5,RF,0.803571428571429,3.5255106005106"
[1] "frustration_boredom,full_prev_3,4,5,NN,0.517857142857143,9.86404706404706"
[1] "frustration_boredom,full_prev_3,4,5,SVM,0.214285714285714,20"
[1] "frustration_boredom,full_prev_3,4,5,OverallBase,0.773234200743494"
[1] "frustration_boredom,full_prev_3,4,5,WithinBase,0.785714285714286"
[1] "frustration_boredom,full_prev_3,5,5,Logit,0.660377358490566,8.80108225108225"
[1] "frustration_boredom,full_prev_3,5,5,RF,0.719298245614035,4.16187423687424"
[1] "frustration_boredom,full_prev_3,5,5,NN,0.491228070175439,10.5004107004107"
[1] "frustration_boredom,full_prev_3,5,5,SVM,0.192982456140351,21"
[1] "frustration_boredom,full_prev_3,5,5,OverallBase,0.773234200743494"
[1] "frustration_boredom,full_prev_3,5,5,WithinBase,0.807017543859649"
[1] "frustration_boredom,full_prev_3,5,5,Logit,0.653061224489796,9.3465367965368"
[1] "frustration_boredom,full_prev_3,5,5,RF,0.685185185185185,4.3285409035409"
[1] "frustration_boredom,full_prev_3,5,5,NN,0.444444444444444,10.9170773670774"
